Trial,Word,Color,Timestamp,Marker
1,angry,#F1E05C,1741632574.5826323,1
2,equally,#A6D5FF,1741632580.1719909,2
3,snow,#F1E05C,1741632585.783324,3
4,messenger,#A6D5FF,1741632591.3559427,4
5,linen,#F1E05C,1741632596.9584239,5
6,divide,#A6D5FF,1741632602.5565212,6
7,thick,#F1E05C,1741632608.15617,7
8,south,#A6D5FF,1741632613.7408564,8
9,commandment,#F1E05C,1741632619.324988,9
10,cease,#A6D5FF,1741632624.919504,10
11,consequence,#F1E05C,1741632630.5251455,11
12,plan,#A6D5FF,1741632636.1245248,12
13,loose,#F1E05C,1741632641.710224,13
14,rain,#A6D5FF,1741632647.3103895,14
15,example,#F1E05C,1741632652.9202967,15
16,chiefly,#A6D5FF,1741632658.5269108,16
17,anxious,#F1E05C,1741632664.127382,17
18,science,#A6D5FF,1741632669.738887,18
19,friendship,#F1E05C,1741632675.3438523,19
20,modern,#A6D5FF,1741632680.9285414,20
21,narrow,#F1E05C,1741632686.5306034,21
22,minister,#A6D5FF,1741632692.1242085,22
23,basket,#F1E05C,1741632697.7304587,23
24,finger,#A6D5FF,1741632703.3471453,24
25,front,#F1E05C,1741632708.946664,25
26,compass,#A6D5FF,1741632714.5314758,26
27,forbid,#F1E05C,1741632720.1491292,27
28,colour,#A6D5FF,1741632725.7418892,28
29,neck,#F1E05C,1741632731.3333724,29
30,thoroughly,#A6D5FF,1741632736.9334986,30
31,drunk,#F1E05C,1741632742.5310647,31
32,breath,#A6D5FF,1741632748.11701,32
33,suspect,#F1E05C,1741632753.7160165,33
34,usual,#A6D5FF,1741632759.3015056,34
35,lucky,#F1E05C,1741632764.9170427,35
36,loose,#A6D5FF,1741632770.5176952,36
37,trying,#F1E05C,1741632776.1005692,37
38,brow,#A6D5FF,1741632781.7004962,38
39,worship,#F1E05C,1741632787.2851002,39
40,naturally,#A6D5FF,1741632792.8684018,40
41,science,#F1E05C,1741632798.4684687,41
42,speech,#A6D5FF,1741632804.0688946,42
43,flow,#F1E05C,1741632809.6690907,43
44,double,#A6D5FF,1741632815.2527878,44
45,mere,#F1E05C,1741632820.8535922,45
46,blow,#A6D5FF,1741632826.4375772,46
47,dominion,#F1E05C,1741632832.0205321,47
48,horrible,#A6D5FF,1741632837.6207247,48
49,visible,#F1E05C,1741632843.2043867,49
50,roll,#A6D5FF,1741632848.8070354,50
51,array,#F1E05C,1741632854.4217257,51
52,view,#A6D5FF,1741632860.008321,52
53,vision,#F1E05C,1741632865.622678,53
54,calm,#A6D5FF,1741632871.20869,54
55,covered,#F1E05C,1741632876.8249226,55
56,spot,#A6D5FF,1741632882.440622,56
57,guinea,#F1E05C,1741632888.04052,57
58,plant,#A6D5FF,1741632893.6259937,58
59,finally,#F1E05C,1741632899.227276,59
60,likewise,#A6D5FF,1741632904.8264375,60
61,ball,#F1E05C,1741632910.4269648,61
62,yesterday,#A6D5FF,1741632916.0427876,62
63,vessel,#F1E05C,1741632921.6270916,63
64,fill,#A6D5FF,1741632927.237359,64
65,swear,#F1E05C,1741632932.8431525,65
66,flame,#A6D5FF,1741632938.4436295,66
67,nation,#F1E05C,1741632944.044263,67
68,wealth,#A6D5FF,1741632949.6461117,68
69,direction,#F1E05C,1741632955.2464366,69
70,material,#A6D5FF,1741632960.846775,70
71,crime,#F1E05C,1741632966.490256,71
72,civil,#A6D5FF,1741632972.098096,72
73,reach,#F1E05C,1741632977.6823785,73
74,size,#A6D5FF,1741632983.2797964,74
75,purple,#F1E05C,1741632988.9244514,75
76,famous,#A6D5FF,1741632994.5141985,76
77,wickedness,#F1E05C,1741633000.1137764,77
78,hitherto,#A6D5FF,1741633005.714424,78
79,prove,#F1E05C,1741633011.315293,79
80,approach,#A6D5FF,1741633016.9176953,80
81,heap,#F1E05C,1741633022.5172942,81
82,choice,#A6D5FF,1741633028.1175995,82
83,sooner,#F1E05C,1741633033.7165446,83
84,grown,#A6D5FF,1741633039.3188393,84
85,grief,#F1E05C,1741633044.9024317,85
86,strife,#A6D5FF,1741633050.5185971,86
87,cruel,#F1E05C,1741633056.1184814,87
88,singing,#A6D5FF,1741633061.7037673,88
89,native,#F1E05C,1741633067.303552,89
90,camp,#A6D5FF,1741633072.904718,90
91,weather,#F1E05C,1741633078.4861479,91
92,milk,#A6D5FF,1741633084.086222,92
93,acknowledge,#F1E05C,1741633089.7151763,93
94,baby,#A6D5FF,1741633095.3053916,94
95,discover,#F1E05C,1741633100.915016,95
96,harpoon,#A6D5FF,1741633106.5384302,96
97,pipe,#F1E05C,1741633112.137784,97
98,declared,#A6D5FF,1741633117.740431,98
99,feed,#F1E05C,1741633123.3408566,99
100,tired,#A6D5FF,1741633128.921788,100
